                    a1      776 0.2431
                  a1+i    80165 0.0422
                 a1+2i     4306 0.0059
                 a1+3i       51 0.0029
                 a1+4i        0 0.0000
                 a1+5i        0 0.0000
                  a1^2        0 0.0000
                a1^2+i        0 0.0000
               a1^2+2i        0 0.0000
               a1^2+3i        0 0.0000
               a1^2+4i        0 0.0000
               a1^2+5i        0 0.0000
                  a1^3        0 0.0000
                a1^3+i        0 0.0000
               a1^3+2i        0 0.0000
               a1^3+3i        0 0.0000
               a1^3+4i        0 0.0000
               a1^3+5i        0 0.0000
                  a1^4        0 0.0000
                a1^4+i        0 0.0000
               a1^4+2i        0 0.0000
               a1^4+3i        0 0.0000
               a1^4+4i        0 0.0000
               a1^4+5i        0 0.0000
                  a1^5        0 0.0000
                a1^5+i        0 0.0000
               a1^5+2i        0 0.0000
               a1^5+3i        0 0.0000
               a1^5+4i        0 0.0000
               a1^5+5i        0 0.0000
                    a2  1365480 0.4014
                  a2+i   671599 0.0416
                 a2+2i    30908 0.0098
                 a2+3i      659 0.0084
                 a2+4i        0 0.0000
                 a2+5i        0 0.0000
                  a2^2     1755 0.0439
                a2^2+i      163 0.0159
               a2^2+2i        5 0.0033
               a2^2+3i        0 0.0000
               a2^2+4i        0 0.0000
               a2^2+5i        0 0.0000
                  a2^3        0 0.0000
                a2^3+i        0 0.0000
               a2^3+2i        0 0.0000
               a2^3+3i        0 0.0000
               a2^3+4i        0 0.0000
               a2^3+5i        0 0.0000
                  a2^4        0 0.0000
                a2^4+i        0 0.0000
               a2^4+2i        0 0.0000
               a2^4+3i        0 0.0000
               a2^4+4i        0 0.0000
               a2^4+5i        0 0.0000
                  a2^5        0 0.0000
                a2^5+i        0 0.0000
               a2^5+2i        0 0.0000
               a2^5+3i        0 0.0000
               a2^5+4i        0 0.0000
               a2^5+5i        0 0.0000
                    a3   393268 0.0353
                  a3+i    47499 0.0116
                 a3+2i      860 0.0080
                 a3+3i       14 0.0077
                 a3+4i        0 0.0000
                 a3+5i        0 0.0000
                  a3^2     5835 0.0749
                a3^2+i     1594 0.0302
               a3^2+2i      135 0.0086
               a3^2+3i        2 0.0139
               a3^2+4i        0 0.0000
               a3^2+5i        0 0.0000
                  a3^3        0 0.0000
                a3^3+i        0 0.0000
               a3^3+2i        0 0.0000
               a3^3+3i        0 0.0000
               a3^3+4i        0 0.0000
               a3^3+5i        0 0.0000
                  a3^4        0 0.0000
                a3^4+i        0 0.0000
               a3^4+2i        0 0.0000
               a3^4+3i        0 0.0000
               a3^4+4i        0 0.0000
               a3^4+5i        0 0.0000
                  a3^5        0 0.0000
                a3^5+i        0 0.0000
               a3^5+2i        0 0.0000
               a3^5+3i        0 0.0000
               a3^5+4i        0 0.0000
               a3^5+5i        0 0.0000
                    a4   626869 0.0649
                  a4+i   181212 0.0192
                 a4+2i     6591 0.0111
                 a4+3i      168 0.0072
                 a4+4i        0 0.0000
                 a4+5i        0 0.0000
                  a4^2    22315 0.0956
                a4^2+i     9391 0.0370
               a4^2+2i     1203 0.0133
               a4^2+3i       41 0.0118
               a4^2+4i        0 0.0000
               a4^2+5i        0 0.0000
                  a4^3        1 0.1888
                a4^3+i        0 0.0000
               a4^3+2i        0 0.0000
               a4^3+3i        0 0.0000
               a4^3+4i        0 0.0000
               a4^3+5i        0 0.0000
                  a4^4        0 0.0000
                a4^4+i        0 0.0000
               a4^4+2i        0 0.0000
               a4^4+3i        0 0.0000
               a4^4+4i        0 0.0000
               a4^4+5i        0 0.0000
                  a4^5        0 0.0000
                a4^5+i        0 0.0000
               a4^5+2i        0 0.0000
               a4^5+3i        0 0.0000
               a4^5+4i        0 0.0000
               a4^5+5i        0 0.0000
                    a5   524808 0.0578
                  a5+i   171847 0.0219
                 a5+2i     9530 0.0127
                 a5+3i      274 0.0086
                 a5+4i        0 0.0000
                 a5+5i        0 0.0000
                  a5^2    43174 0.0913
                a5^2+i    20795 0.0402
               a5^2+2i     3430 0.0142
               a5^2+3i       69 0.0091
               a5^2+4i        0 0.0000
               a5^2+5i        0 0.0000
                  a5^3       22 0.1459
                a5^3+i       18 0.0546
               a5^3+2i        5 0.0270
               a5^3+3i        0 0.0000
               a5^3+4i        0 0.0000
               a5^3+5i        0 0.0000
                  a5^4        0 0.0000
                a5^4+i        0 0.0000
               a5^4+2i        0 0.0000
               a5^4+3i        0 0.0000
               a5^4+4i        0 0.0000
               a5^4+5i        0 0.0000
                  a5^5        0 0.0000
                a5^5+i        0 0.0000
               a5^5+2i        0 0.0000
               a5^5+3i        0 0.0000
               a5^5+4i        0 0.0000
               a5^5+5i        0 0.0000
                    a6   350621 0.0485
                  a6+i   118540 0.0242
                 a6+2i     9270 0.0141
                 a6+3i      344 0.0095
                 a6+4i        4 0.0072
                 a6+5i        0 0.0000
                  a6^2    57250 0.0793
                a6^2+i    29457 0.0392
               a6^2+2i     5255 0.0157
               a6^2+3i      173 0.0129
               a6^2+4i        7 0.0089
               a6^2+5i        0 0.0000
