                    a1   522328 0.0854
                  a1+i   270968 0.0198
                 a1+2i     6707 0.0050
                 a1+3i       65 0.0026
                 a1+4i        0 0.0000
                 a1+5i        0 0.0000
                  a1^2    32719 0.0780
                a1^2+i    14927 0.0171
               a1^2+2i      483 0.0022
               a1^2+3i        0 0.0000
               a1^2+4i        0 0.0000
               a1^2+5i        0 0.0000
                  a1^3        0 0.0000
                a1^3+i        0 0.0000
               a1^3+2i        0 0.0000
               a1^3+3i        0 0.0000
               a1^3+4i        0 0.0000
               a1^3+5i        0 0.0000
                  a1^4        0 0.0000
                a1^4+i        0 0.0000
               a1^4+2i        0 0.0000
               a1^4+3i        0 0.0000
               a1^4+4i        0 0.0000
               a1^4+5i        0 0.0000
                  a1^5        0 0.0000
                a1^5+i        0 0.0000
               a1^5+2i        0 0.0000
               a1^5+3i        0 0.0000
               a1^5+4i        0 0.0000
               a1^5+5i        0 0.0000
                    a2  1848064 0.3131
                  a2+i   850395 0.0355
                 a2+2i    39326 0.0086
                 a2+3i      783 0.0075
                 a2+4i        1 0.0005
                 a2+5i        0 0.0000
                  a2^2    60505 0.1011
                a2^2+i    33099 0.0250
               a2^2+2i     3911 0.0064
               a2^2+3i       31 0.0043
               a2^2+4i        0 0.0000
               a2^2+5i        0 0.0000
                  a2^3      866 0.0785
                a2^3+i      597 0.0267
               a2^3+2i      133 0.0066
               a2^3+3i        0 0.0000
               a2^3+4i        0 0.0000
               a2^3+5i        0 0.0000
                  a2^4        0 0.0000
                a2^4+i        0 0.0000
               a2^4+2i        0 0.0000
               a2^4+3i        0 0.0000
               a2^4+4i        0 0.0000
               a2^4+5i        0 0.0000
                  a2^5        0 0.0000
                a2^5+i        0 0.0000
               a2^5+2i        0 0.0000
               a2^5+3i        0 0.0000
               a2^5+4i        0 0.0000
               a2^5+5i        0 0.0000
                    a3   867246 0.0564
                  a3+i   269731 0.0169
                 a3+2i    22826 0.0059
                 a3+3i      857 0.0033
                 a3+4i        3 0.0016
                 a3+5i        0 0.0000
                  a3^2    85317 0.1108
                a3^2+i    53327 0.0322
               a3^2+2i     9615 0.0090
               a3^2+3i      342 0.0043
               a3^2+4i        3 0.0036
               a3^2+5i        0 0.0000
                  a3^3     1860 0.0738
                a3^3+i     1286 0.0271
               a3^3+2i      341 0.0075
               a3^3+3i       13 0.0022
               a3^3+4i        0 0.0000
               a3^3+5i        0 0.0000
                  a3^4        8 0.0180
                a3^4+i        3 0.0146
               a3^4+2i        0 0.0000
               a3^4+3i        0 0.0000
               a3^4+4i        0 0.0000
               a3^4+5i        0 0.0000
                  a3^5        0 0.0000
                a3^5+i        0 0.0000
               a3^5+2i        0 0.0000
               a3^5+3i        0 0.0000
               a3^5+4i        0 0.0000
               a3^5+5i        0 0.0000
                    a4  1094310 0.0690
                  a4+i   422776 0.0206
                 a4+2i    38403 0.0077
                 a4+3i     1774 0.0040
                 a4+4i       31 0.0027
                 a4+5i        0 0.0000
                  a4^2   119029 0.1104
                a4^2+i    75163 0.0388
               a4^2+2i    16894 0.0119
               a4^2+3i     1164 0.0046
               a4^2+4i       12 0.0036
               a4^2+5i        0 0.0000
                  a4^3     3504 0.0870
                a4^3+i     2567 0.0371
               a4^3+2i      902 0.0112
               a4^3+3i       70 0.0048
               a4^3+4i        1 0.0015
               a4^3+5i        0 0.0000
                  a4^4       12 0.0269
                a4^4+i       10 0.0119
               a4^4+2i        3 0.0026
               a4^4+3i        0 0.0000
               a4^4+4i        0 0.0000
               a4^4+5i        0 0.0000
                  a4^5        0 0.0000
                a4^5+i        0 0.0000
               a4^5+2i        0 0.0000
               a4^5+3i        0 0.0000
               a4^5+4i        0 0.0000
               a4^5+5i        0 0.0000
                    a5   975983 0.0633
                  a5+i   414167 0.0231
                 a5+2i    47337 0.0090
                 a5+3i     2478 0.0049
                 a5+4i       86 0.0029
                 a5+5i        0 0.0000
                  a5^2   153795 0.1047
                a5^2+i    98963 0.0431
               a5^2+2i    26018 0.0136
               a5^2+3i     1808 0.0059
               a5^2+4i       56 0.0041
               a5^2+5i        0 0.0000
                  a5^3     5282 0.0839
                a5^3+i     4036 0.0400
               a5^3+2i     1480 0.0137
               a5^3+3i      179 0.0058
               a5^3+4i        1 0.0026
               a5^3+5i        0 0.0000
                  a5^4       30 0.0679
                a5^4+i       19 0.0490
               a5^4+2i       12 0.0163
               a5^4+3i        0 0.0000
               a5^4+4i        0 0.0000
               a5^4+5i        0 0.0000
                  a5^5        0 0.0000
                a5^5+i        0 0.0000
               a5^5+2i        0 0.0000
               a5^5+3i        0 0.0000
               a5^5+4i        0 0.0000
               a5^5+5i        0 0.0000
                    a6   757591 0.0525
